City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
42,upernavik,8,GL,1537559680,100,72.79,-56.15,30.08,6.96
43,hilo,75,US,1537559100,64,19.71,-155.08,82.04,3.36
44,lavrentiya,24,RU,1537559631,97,65.58,-170.99,44.66,18.25
45,sabang,92,PH,1537559815,98,13.72,123.58,78.95,4.94
46,busselton,44,AU,1537559630,100,-33.64,115.35,52.76,9.64
47,thompson,75,CA,1537556400,52,55.74,-97.86,41.0,14.99
48,guerrero negro,0,MX,1537559684,49,27.97,-114.04,83.0,11.54
49,kahului,20,US,1537556160,61,20.89,-156.47,86.0,8.86
50,port elizabeth,75,US,1537558320,71,39.31,-74.98,77.0,9.17
51,cherskiy,92,RU,1537559700,95,68.75,161.3,37.1,2.93
52,east london,0,ZA,1537559640,100,-33.02,27.91,64.46,5.39
53,vaini,92,IN,1537559629,97,15.34,74.49,70.49,4.72
54,carnarvon,0,ZA,1537559702,22,-30.97,22.13,40.07,7.74
55,luderitz,0,NA,1537559673,75,-26.65,15.16,57.17,23.62
56,russell,0,AR,1537556400,51,-33.01,-68.8,82.4,5.82
57,ocos,20,GT,1537556400,49,14.51,-92.19,91.4,11.41
58,bredasdorp,0,ZA,1537556400,66,-34.53,20.04,53.6,4.7
59,victoria,75,BN,1537558200,100,5.28,115.24,75.2,3.04
60,fare,92,PF,1537559816,100,-16.7,-151.02,76.88,22.06
61,nikolskoye,0,RU,1537556400,72,59.7,30.79,64.4,15.66
62,nobres,32,BR,1537559817,46,-14.72,-56.34,92.27,2.82
63,eyl,0,SO,1537559817,83,7.98,49.82,77.33,23.85
64,camacha,40,PT,1537558200,73,33.08,-16.33,73.4,6.93
65,mataura,12,NZ,1537559615,93,-46.19,168.86,46.19,4.83
66,khani,40,GE,1537556400,94,41.96,42.96,68.0,4.7
67,shingu,92,JP,1537559818,97,33.72,135.99,79.31,23.17
68,sitka,92,US,1537559818,44,37.17,-99.65,68.6,17.25
69,richards bay,20,ZA,1537559661,96,-28.77,32.06,58.25,2.37
70,williams lake,90,CA,1537556400,93,52.13,-122.14,44.6,3.36
71,waipawa,92,NZ,1537559615,88,-39.94,176.59,49.52,10.09
72,flin flon,75,CA,1537556400,47,54.77,-101.88,37.4,11.41
73,grand-bourg,68,GP,1537558200,88,15.88,-61.31,87.8,10.29
74,hithadhoo,56,MV,1537559644,100,-0.6,73.08,81.2,4.05
75,hasaki,75,JP,1537556400,100,35.73,140.83,66.2,4.7
76,isangel,0,VU,1537559617,100,-19.55,169.27,71.3,16.24
77,souillac,0,FR,1537558200,67,45.6,-0.6,60.8,3.36
78,bay roberts,40,CA,1537556400,61,47.58,-53.28,48.2,11.41
79,atuona,92,PF,1537559619,100,-9.8,-139.03,76.07,5.28
80,petropavlivka,0,UA,1537559819,54,48.46,36.42,63.74,9.42
81,trento,0,IT,1537555800,64,46.07,11.13,73.4,3.36
82,pemba,0,MZ,1537556400,78,-12.97,40.52,75.2,4.7
83,kirovskiy,88,RU,1537559685,69,45.09,133.51,56.27,5.73
84,kieta,20,PG,1537559820,100,-6.22,155.63,78.05,4.61
85,tuatapere,20,NZ,1537559642,100,-46.13,167.69,45.92,7.18
86,georgetown,20,GY,1537556400,66,6.8,-58.16,87.8,13.87
87,abasolo,40,MX,1537555320,50,20.45,-101.53,78.8,3.49
88,panjab,0,AF,1537559678,69,34.38,67.02,29.99,1.59
89,bethel,90,US,1537555980,100,60.79,-161.76,46.94,10.29
90,porto novo,40,BR,1537556400,45,-23.68,-45.44,82.4,10.29
91,egvekinot,64,RU,1537559677,99,66.32,-179.17,38.63,3.15
92,syedove,0,UA,1537559821,81,47.08,38.16,66.62,11.43
93,hulan ergi,68,CN,1537559821,92,47.2,123.63,46.37,5.61
94,tuktoyaktuk,40,CA,1537556400,52,69.44,-133.03,41.0,16.11
95,tual,64,ID,1537559822,99,-5.67,132.75,80.39,13.0
96,san cristobal,75,EC,1537556400,59,-0.39,-78.55,60.8,23.04
97,leningradskiy,64,RU,1537559628,93,69.38,178.42,42.05,3.94
98,qaanaaq,68,GL,1537559477,100,77.48,-69.36,20.9,14.23
99,saint-paul,0,FR,1537558200,93,45.22,1.9,57.2,2.93
100,belmonte,20,PT,1537559685,70,40.36,-7.35,62.57,3.94
101,jumla,92,NP,1537559647,92,29.28,82.18,36.2,1.81
102,khatanga,92,RU,1537559633,94,71.98,102.47,41.33,15.79
103,flinders,0,AU,1537556400,81,-34.58,150.85,44.6,8.05
104,nanortalik,88,GL,1537559638,99,60.14,-45.24,36.74,8.19
105,hermanus,0,ZA,1537559636,93,-34.42,19.24,37.91,1.14
106,royan,0,FR,1537558200,67,45.62,-1.03,60.8,3.36
107,yingcheng,88,CN,1537556400,88,30.93,113.57,71.6,4.47
108,atar,24,MR,1537559654,30,20.52,-13.05,90.92,7.18
109,fortuna,0,ES,1537558200,88,38.18,-1.13,84.2,2.71
110,lebu,56,ET,1537559641,88,8.96,38.73,47.81,2.37
111,kudahuvadhoo,68,MV,1537559824,100,2.67,72.89,81.2,7.07
112,ilhabela,32,BR,1537559824,100,-23.78,-45.36,70.13,6.51
113,catuday,48,PH,1537559824,100,16.29,119.81,76.97,4.38
114,kodiak,1,US,1537555980,56,39.95,-94.76,66.92,16.11
115,petrovskoye,0,RU,1537556400,77,56.26,36.47,62.6,2.24
116,tigil,92,RU,1537559825,93,57.8,158.67,46.28,5.39
117,arraial do cabo,40,BR,1537556400,83,-22.97,-42.02,80.6,4.7
118,inuvik,40,CA,1537556400,36,68.36,-133.71,44.6,8.05
119,mehamn,75,NO,1537555800,76,71.03,27.85,51.8,9.17
120,honningsvag,75,NO,1537555800,76,70.98,25.97,50.0,9.17
121,nueva loja,75,EC,1537556400,69,0.08,-76.88,82.4,5.82
122,takoradi,88,GH,1537559826,98,4.89,-1.75,77.69,9.31
123,padang,8,ID,1537559826,100,-0.92,100.36,82.19,4.38
124,tottori,92,JP,1537559658,100,35.5,134.23,68.96,5.39
125,sao joao da barra,0,BR,1537556400,65,-21.64,-41.05,80.6,16.11
126,castanos,8,MX,1537559827,49,26.78,-101.42,91.37,3.94
127,esperance,40,TT,1537556400,94,10.24,-61.45,78.8,5.82
128,ordzhonikidze,0,UA,1537559827,99,44.96,35.36,64.55,8.3
129,thinadhoo,64,MV,1537559657,100,0.53,72.93,81.92,5.84
130,ouango,0,CD,1537559827,85,4.31,22.55,76.97,2.15
131,waverley,0,AU,1537558200,76,-33.9,151.26,51.8,9.17
132,cabo san lucas,20,MX,1537555200,74,22.89,-109.91,87.8,4.7
133,sorland,40,NO,1537557600,81,67.67,12.69,48.2,5.82
134,mgandu,0,TZ,1537559828,57,-5.96,34.11,67.34,13.22
135,sao gabriel da cachoeira,56,BR,1537559828,74,-0.13,-67.09,82.46,3.71
136,cayenne,0,GF,1537558200,62,4.94,-52.33,87.8,12.75
137,vawkavysk,0,BY,1537559829,53,53.15,24.45,68.69,15.57
138,batagay-alyta,32,RU,1537559829,56,67.8,130.41,4.7,2.71
139,san quintin,56,PH,1537559637,90,17.54,120.52,71.75,3.71
140,innisfail,90,CA,1537556400,93,52.02,-113.95,35.6,10.29
141,qaqortoq,75,GL,1537555800,56,60.72,-46.03,41.0,6.93
142,aklavik,75,CA,1537556400,64,68.22,-135.01,44.6,5.82
143,vardo,40,US,1537559340,73,39.62,-77.74,77.0,12.75
144,chokurdakh,92,RU,1537559623,99,70.62,147.9,36.38,3.71
145,asyut,0,EG,1537556400,44,27.18,31.19,80.6,11.41
146,maldonado,75,UY,1537556400,57,-34.91,-54.96,78.8,12.75
147,touros,12,BR,1537559674,78,-5.2,-35.46,79.04,16.02
148,saint-philippe,90,CA,1537557300,77,45.36,-73.48,71.6,26.4
149,fort morgan,1,US,1537558800,23,40.25,-103.8,72.5,11.41
150,pahrump,1,US,1537556280,2,36.21,-115.98,89.06,3.36
151,yamada,75,JP,1537556400,88,36.58,137.08,75.2,6.93
152,talnakh,80,RU,1537559640,92,69.49,88.39,42.86,7.85
153,dingle,80,PH,1537559644,97,11.0,122.67,74.27,2.59
154,karratha,0,AU,1537559664,76,-20.74,116.85,51.95,2.82
155,airai,0,TL,1537559625,86,-8.93,125.41,59.24,1.81
156,avanigadda,48,IN,1537559683,96,16.02,80.92,76.79,7.63
157,kapaa,75,US,1537557540,93,22.08,-159.32,82.94,10.29
158,moose factory,90,CA,1537557720,100,51.26,-80.61,46.4,14.99
159,batticaloa,56,LK,1537559831,100,7.71,81.69,76.52,4.61
160,vila velha,0,BR,1537556400,62,-3.71,-38.6,84.2,16.11
161,forbes,36,AU,1537559831,83,-33.38,148.01,43.58,2.93
162,coshocton,40,US,1537557360,55,40.27,-81.86,87.98,16.11
163,severo-kurilsk,64,RU,1537559689,99,50.68,156.12,49.52,18.25
164,phoenixville,90,US,1537558320,73,40.13,-75.52,75.92,8.05
165,iracoubo,12,GF,1537559832,71,5.48,-53.21,83.9,6.51
166,barrow,0,AR,1537559656,27,-38.31,-60.23,71.3,14.67
167,karabash,80,RU,1537559832,89,55.49,60.21,49.61,8.19
168,faya,0,SA,1537556400,16,18.39,42.45,75.2,11.41
169,dunedin,20,NZ,1537559667,91,-45.87,170.5,44.3,3.94
170,sun city west,1,US,1537558500,25,33.66,-112.34,96.8,4.7
171,doha,0,QA,1537556400,75,25.29,51.53,91.4,8.05
172,terrace,20,CA,1537556400,44,54.52,-128.61,57.2,17.22
173,puerto ayora,0,EC,1537556400,57,-0.74,-90.35,77.0,19.46
174,saint anthony,1,US,1537556160,5,43.97,-111.68,66.92,5.82
175,saint george,0,GR,1537555800,77,39.45,22.34,62.6,2.59
176,caluquembe,8,AO,1537559834,48,-13.78,14.68,64.01,1.14
177,luoyang,32,CN,1537559834,72,34.66,112.42,50.06,2.93
178,mabaruma,44,GY,1537559834,82,8.2,-59.78,83.54,5.95
179,kenora,75,CA,1537558500,54,49.76,-94.48,53.6,18.34
180,victoria point,0,AU,1537558200,81,-27.58,153.3,59.0,10.29
181,manzhouli,92,CN,1537559835,96,49.6,117.43,42.59,11.43
182,ketchikan,1,US,1537556160,57,55.34,-131.65,62.06,13.87
183,mouzouras,20,GR,1537557600,83,35.53,24.15,69.8,1.92
184,marawi,24,PH,1537559635,97,8.0,124.29,65.36,1.92
185,hamilton,75,BM,1537556100,78,32.3,-64.78,82.4,23.04
186,port-gentil,90,GA,1537556400,88,-0.72,8.78,78.8,11.41
187,bukan,0,IR,1537559835,72,36.52,46.21,49.25,1.92
188,okato,0,NZ,1537559835,99,-39.19,173.88,53.03,20.71
189,beringovskiy,92,RU,1537559619,99,63.05,179.32,46.64,14.9
190,bambous virieux,20,MU,1537556400,78,-20.34,57.76,73.4,8.05
191,enkhuizen,75,NL,1537557900,82,52.7,5.29,57.2,29.97
192,bolivar,75,US,1537559520,70,37.61,-93.41,75.02,5.82
193,meulaboh,100,ID,1537559611,100,4.14,96.13,78.41,2.04
194,havelock,1,US,1537556160,64,34.88,-76.9,84.02,4.7
195,yellowknife,40,CA,1537556400,55,62.45,-114.38,33.8,4.7
196,tyazhinskiy,36,RU,1537559837,88,56.11,88.52,41.42,2.37
197,mackay,90,CA,1537556400,73,53.65,-115.58,32.0,5.82
198,san lorenzo,0,PY,1537556400,40,-25.34,-57.51,89.6,4.7
199,cabedelo,40,BR,1537556400,65,-6.97,-34.84,80.6,17.22
200,boden,90,SE,1537557600,93,65.83,21.69,53.6,19.46
201,portree,88,GB,1537559839,100,57.41,-6.19,49.79,23.51
202,ano mera,20,GR,1537557600,83,37.45,25.4,71.6,13.87
